ISSN;TITULO;QUALIS
19466226;ACM TRANSACTIONS ON COMPUTING EDUCATION;A1
10844309;ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS;A4
15399087;ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS;A4
07300301;ACM TRANSACTIONS ON GRAPHICS;A1
10468188;ACM TRANSACTIONS ON INFORMATION SYSTEMS;A1
21576904;ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY;A1
21606455;ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS;A3
15335399;ACM TRANSACTIONS ON INTERNET TECHNOLOGY;A2
15564681;ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA;A2
00983500;ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE;A1
23763639;ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS;A3
15516857;ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS;A2
23294949;ACM TRANSACTIONS ON PARALLEL COMPUTING;A4
24712566;ACM TRANSACTIONS ON PRIVACY AND SECURITY;A2
01640925;ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS;B1
1049331X;ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY;A2
23740353;ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS;A1
15533077;ACM TRANSACTIONS ON STORAGE;A4
15591131;ACM TRANSACTIONS ON THE WEB;A2
14929732;ACME: AN INTERNATIONAL E-JOURNAL FOR CRITICAL GEOGRAPHIES;A2
01885057;ACONTECER (MEXICO);B4
25740970;ACS  APPLIED NANO MATERIALS;A4
25766422;ACS APPLIED BIO MATERIALS;B2
26376113;ACS APPLIED ELECTRONIC MATERIALS;C
25740962;ACS APPLIED ENERGY MATERIALS;A3
19448252;ACS APPLIED MATERIALS & INTERFACES (ONLINE);A1
19448244;ACS APPLIED MATERIALS & INTERFACES (PRINT);A1
42834293;ACS APPLIED NANO MATERIALS;B2
26376105;ACS APPLIED POLYMER MATERIALS;B2
23739878;ACS BIOMATERIALS SCIENCE & ENGINNERING;A2
21555435;ACS CATALYSIS;A1
23747951;ACS CENTRAL SCIENCE (ONLINE);A1
15548929;ACS CHEMICAL BIOLOGY;A1
19487193;ACS CHEMICAL NEUROSCIENCE;A2
21568952;ACS COMBINATORIAL SCIENCE;A2
24723452;ACS EARTH AND SPACE CHEMISTRY;A2
23738227;ACS INFECTIOUS DISEASES;A1
21611653;ACS MACRO LETTERS;A1
19485875;ACS MED CHEM LETT;A2
19360851;ACS NANO;A1
24701343;ACS OMEGA;A4
23304022;ACS PHOTONICS;A1
23793694;ACS SENSORS;A1
21680485;ACS SUSTAINABLE CHEMISTRY & ENGINEERING;A1
21615063;ACS SYNTHETIC BIOLOGY;A1
13317776;ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS;B2
13317768;ACS. AGRICULTURAE CONSPECTUS SCINTIFICUS (TISAK);B2
10915397;ACSM'S HEALTH & FITNESS JOURNAL (PRINT);B1
09064702;ACTA AGRICULTURAE SCANDINAVICA. SECTION A, ANIMAL SCIENCE;B2
09064710;ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCE;A4
16511913;ACTA AGRICULTURAE SCANDINAVICA. SECTION B. SOIL AND PLANT SCIENCE;A4
01202812;ACTA AGRONOMICA;B3
01393006;ACTA ALIMENTARIA;B2
18094392;ACTA AMAZONICA;A3
00445967;ACTA AMAZONICA (IMPRESSO);A3
11044446;ACTA AMERICANA (UPPSALA);B4
00015172;ACTA ANAESTHESIOLOGICA SCANDINAVICA;A2
03535150;ACTA ANALYTICA;A2
1234950X;ACTA ANGIOLOGICA;B3
23582375;ACTA APICOLA BRASILICA;C
01678019;ACTA APPLICANDAE MATHEMATICAE;A3
00015202;ACTA ARACHNOLOGICA;B3
0065101X;ACTA ARCHAEOLOGICA;B3
00651036;ACTA ARITHMETICA;B2
00945765;ACTA ASTRONAUTICA;A1
00015237;ACTA ASTRONOMICA;A1
16729145;ACTA BIOCHIMICA ET BIOPHYSICA SINICA;A3
0001527X;ACTA BIOCHIMICA POLONICA;A4
07175906;ACTA BIOETHICA;B3
1726569X;ACTA BIOETHICA (EN LINEA);B3
25960016;ACTA BIOLOGICA BRASILIENSIA;B2
23583363;ACTA BIOLOGICA CATARINENSE;B4
0120548X;ACTA BIOLOGICA COLOMBIANA;B1
03012123;ACTA BIOLOGICA PARANAENSE;C
17427061;ACTA BIOMATERIALIA;A1
23337931;ACTA BIOMATERIALIA ODONTOLOGICA SCANDINAVICA;B3
22360867;ACTA BIOMEDICA BRASILIENSIA;B4
03924203;"ACTA BIO-MEDICA DELL&APOS;ATENEO PARMENSE";A3
03252957;ACTA BIOQUIMICA CLINICA LATINOAMERICANA;B4
00015342;ACTA BIOTHEORETICA;A1
1677941X;ACTA BOTANICA BRASILICA;A4
01023306;ACTA BOTANICA BRASILICA (IMPRESSO);A4
03650588;ACTA BOTANICA CROATICA;A4
01386824;ACTA BOTANICA CUBANA;B4
02366495;ACTA BOTANICA HUNGARICA (PRINT);A4
02109506;ACTA BOTANICA MALACITANA;B4
23405074;ACTA BOTANICA MALACITANA (ONLINE);B4
01877151;ACTA BOTANICA MEXICANA;B2
00845906;ACTA BOTANICA VENEZUELICA;B4
22382259;ACTA BRASILEIRA DO MOVIMENTO HUMANO;B2
25264338;ACTA BRASILIENSIS;C
00015385;ACTA CARDIOLOGICA (IMPRIME);B2
05836050;ACTA CARSOLOGICA;A4
15803155;ACTA CHIMICA SLOVENICA;B1
13180207;ACTA CHIMICA SLOVENICA (PRINT ED.);B1
15081109;ACTA CHIROPTEROLOGICA;A3
17335329;ACTA CHIROPTEROLOGICA (ONLINE);A3
12332356;ACTA CHROMATOGRAPHICA;B1
02537338;ACTA CIENCIA INDICA. CHEMISTRY;B4
19840918;ACTA CIENTIFICA (PATOS DE MINAS);C
15199800;ACTA CIENTIFICA. CIENCIAS HUMANAS;B3
01028650;ACTA CIRURGICA BRASILEIRA (IMPRESSO);A4
16782674;ACTA CIRURGICA BRASILEIRA (ONLINE);A4
01239155;ACTA COLOMBIANA DE PSICOLOGIA;A1
16841999;ACTA COMMERCII;A4
01888145;ACTA COMPORTAMENTALIA;A2
20532733;ACTA CRYSTALLOGRAPHICA A - FOUNDATION AND ADVANCES;A4
20525206;ACTA CRYSTALLOGRAPHICA SECTION B: STRUCTURAL SCIENCE, CRYSTAL ENGINEERING AND MATERALS;A2
20532296;ACTA CRYSTALLOGRAPHICA SECTION C: STRUCTURAL CHEMISTRY;B1
20597983;ACTA CRYSTALLOGRAPHICA SECTION D;A1
20569890;ACTA CRYSTALLOGRAPHICA SECTION E, CRYSTALLOGRAPHIC COMMUNICATIONS;B2
01087673;ACTA CRYSTALLOGRAPHICA. SECTION A, FOUNDATIONS OF CRYSTALLOGRAPHY;A4
16005368;ACTA CRYSTALLOGRAPHICA. SECTION E;B2
2053230X;ACTA CRYSTALLOGRAPHICA. SECTION F: STRUCTURAL BIOLOGY COMMUNICATIONS;B1
19382650;ACTA CYTOLOGICA;B1
20074832;ACTA DE INVESTIGACION PSICOLOGICA;A3
26052202;ACTA DE LAS JORNADAS CIENTIFICAS DE LA ASOCIACION METEOROLOGICA ESPANOLA;B4
23578068;ACTA DE PESCA DE RECURSOS AQUATICOS;B4
00015555;ACTA DERMATO-VENEREOLOGICA;A1
1330027X;ACTA DERMATOVENEROLOGICA CROATICA;B2
09405429;ACTA DIABETOLOGICA (PRINT);A2
20651430;ACTA DIDACTICA NAPOCENSIA;A3
18722032;ACTA ECOLOGICA SINICA (ONLINE);B2
26751208;ACTA ELIT SALUTIS;C
03741036;ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE;B2
14379546;ACTA ETHOLOGICA (INTERNET);A4
08739749;ACTA ETHOLOGICA (PRINT);A4
03516083;ACTA FACULTATIS MEDICAE NAISSENSIS;B4
21823340;ACTA FARMACEUTICA PORTUGUESA;C
23170190;ACTA FISIATRICA;B2
03009033;ACTA GASTROENTEROLOGICA LATINOAMERICANA;B3
23364351;ACTA GEODYNAMICA ET GEOMATERIALIA;B2
21774307;ACTA GEOGRAFICA;A2
19805772;ACTA GEOGRAFICA (UFRR);A2
00015709;ACTA GEOLOGICA POLONICA;A4
10009515;ACTA GEOLOGICA SINICA (BEIJING);A4
18956572;ACTA GEOPHYSICA;B1
18611125;ACTA GEOTECHNICA (BERLIN. PRINT);A1
00015792;ACTA HAEMATOLOGICA;B3
18279635;ACTA HERPETOLOGICA;B1
26769719;ACTA HISPANICA;B1
00651281;ACTA HISTOCHEMICA (PRINT);A4
05677572;ACTA HORTICULTURAE;B4
13385259;ACTA HORTICULTURAE ET REGIOTECTURAE;A4
22853871;ACTA IASSYENSIA COMPARATIONIS;B4
01371592;ACTA ICHTHYOLOGICA ET PISCATORIA;B3
23164093;ACTA IGUAZU;B4
2221870X;ACTA IMEKO;B2
00015903;ACTA INFORMATICA;A2
24486469;ACTA LATINOAMERICANA DE MATEMATICA EDUCATIVA;B1
01026712;ACTA LIMNOLOGICA BRASILIENSIA;B2
2179975X;ACTA LIMNOLOGICA BRASILIENSIA (ONLINE);B2
07160909;ACTA LITERARIA (IMPRESA);A4
25270257;ACTA LUDICA;C
13596454;ACTA MATERIALIA (OXFORD);A1
00015962;ACTA MATHEMATICA;A1
02365294;ACTA MATHEMATICA HUNGARICA (PRINT);B1
02529602;ACTA MATHEMATICA SCIENTIA;B1
14398516;ACTA MATHEMATICA SINICA. ENGLISH SERIES (PRINT);A4
08629544;ACTA MATHEMATICA UNIVERSITATIS COMENIANAE (TLACENE VYDANIE);B3
00015970;ACTA MECHANICA;A2
25259350;ACTA MECHANÌCA ET MOBILITATEM (ONLINE);C
01035037;ACTA MEDICA (PORTO ALEGRE);C
00016012;ACTA MEDICA COSTARRICENSE;C
00446025;ACTA MEDICA IRANICA;A4
13358421;ACTA MEDICA MARTINIANA;C
03936384;ACTA MEDICA MEDITERRANEA - PRINT;A4
22839720;ACTA MEDICA MEDITERRANEA (ONLINE);A4
17285917;ACTA MEDICA PERUANA;B4
16460758;ACTA MEDICA PORTUGUESA;B1
10067191;ACTA METALLURGICA SINICA;A2
02048809;ACTA MICROBIOLOGICA BULGARICA (IMPRESSO);B4
07984545;ACTA MICROSCOPICA - INTERAMERICAN COMMITTEE OF SOCIETIES FOR ELECTRON MICROSCOPY;B3
23179597;ACTA MSM;C
23363193;ACTA MUSEI SILESIAE, SCIENTIAE NATURALES;B4
0001625X;ACTA MYCOLOGICA;B2
11282460;ACTA MYOLOGICA;B2
25947680;ACTA NEGOCIOS;B3
00651400;ACTA NEUROBIOLOGIAE EXPERIMENTALIS (DRUK);B2
00016268;ACTA NEUROCHIRURGICA;A4
03009009;ACTA NEUROLOGICA BELGICA;B1
00016314;ACTA NEUROLOGICA SCANDINAVICA;A3
00016322;ACTA NEUROPATHOLOGICA;A1
20515960;ACTA NEUROPATHOLOGICA COMMUNICATIONS;A1
16015215;ACTA NEUROPSYCHIATRICA;A2
00016349;ACTA OBSTETRICIA ET GYNECOLOGICA SCANDINAVICA;A2
18524834;ACTA ODONTOLOGICA LATINOAMERICANA;B3
15023850;ACTA ODONTOLOGICA SCANDINAVICA;A2
00016357;ACTA ODONTOLOGICA SCANDINAVICA (TRYKT UTG.);A2
00016365;ACTA ODONTOLOGICA VENEZOLANA;B3
1146609X;ACTA OECOLOGICA (MONTROUGE);A3
1509409X;ACTA OF BIOENGINEERING AND BIOMECHANICS;B2
1651226X;ACTA ONCOLOGICA;A3
0284186X;ACTA ONCOLOGICA (STOCKHOLM);A3
20277822;ACTA ONDONTOLOGICA COLOMBIANA;B3
1755375X;ACTA OPHTHALMOLOGICA;A2
18098770;ACTA ORL;B4
00016454;ACTA ORNITHOLOGICA;A4
17453674;ACTA ORTHOPAEDICA (PRINT);A1
18094406;ACTA ORTOPEDICA BRASILEIRA;B1
14137852;ACTA ORTOPEDICA BRASILEIRA (IMPRESSO);B1
21767521;ACTA ORTOPEDICA BRASILEIRA (IMPRESSO. ED. PORTUGUES);B1
00016489;ACTA OTO-LARYNGOLOGICA;A4
0392100X;ACTA OTORHINOLARYNGOLOGICA ITALICA;A4
21735735;ACTA OTORRINOLARINGOLOGICA (ENGLISH EDITION);B3
00016519;ACTA OTORRINOLARINGOLOGICA ESPANOLA;B2
08035253;ACTA PAEDIATRICA (OSLO);A2
20820259;ACTA PALAEOBOTANICA;A3
05677920;ACTA PALAEONTOLOGICA POLONICA;A3
12302821;ACTA PARASITOLOGICA;B2
19820194;ACTA PAUL DE ENFERM;A4
01032100;ACTA PAULISTA DE ENFERMAGEM;A4
13300075;ACTA PHARMACEUTICA;A4
22113835;ACTA PHARMACEUTICA SINICA B;A1
16714083;ACTA PHARMACOLOGICA SINICA;A1
1593232X;ACTA PHLEBOLOGICA;B4
05874246;ACTA PHYSICA POLONICA. A;B2
05874254;ACTA PHYSICA POLONICA. B;B2
18992358;ACTA PHYSICA POLONICA. B, PROCEEDINGS SUPPLEMENT;B3
03230465;ACTA PHYSICA SLOVACA (TLACENE VYDANIE);B1
01375881;ACTA PHYSIOLOGIAE PLANTARUM;A2
17481716;ACTA PHYSIOLOGICA (ONLINE);A1
17481708;ACTA PHYSIOLOGICA (PRINT);A1
01853082;ACTA POETICA;B1
2448735X;ACTA POETICA (ONLINE);B1
00016837;ACTA POLONIAE PHARMACEUTICA: DRUG RESEARCH;B3
12102709;ACTA POLYTECHNICA;A4
17858860;ACTA POLYTECHNICA HUNGARICA;A4
21835985;ACTA PORTUGUESA DE NUTRICAO;B2
00651583;ACTA PROTOZOOLOGICA (DRUK);A4
25236229;ACTA PSICOLOGICA PERUANA;A4
25959867;ACTA PSICOSSOMATICA;B4
00016896;ACTA PSIQUIATRICA Y PSICOLOGICA DE AMERICA LATINA;B3
0001690X;ACTA PSYCHIATRICA SCANDINAVICA;A1
16000447;ACTA PSYCHIATRICA SCANDINAVICA.;A1
00016918;ACTA PSYCHOLOGICA;A3
24696676;ACTA PSYCHOPATHOLOGICA;B3
02841851;ACTA RADIOLOGICA (1987);B1
0303464X;ACTA REUMATOLOGICA PORTUGUESA;B3
15174492;ACTA SCIENTIAE (ULBRA);A2
25957651;ACTA SCIENTIAE ANATOMICA;C
23178957;ACTA SCIENTIAE ET TECHNICAE;B4
16799216;ACTA SCIENTIAE VETERINARIAE (ONLINE);B2
16780345;ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO);B2
2526169X;ACTA SCIENTIAE. BIOLOGICAL RESEARCH;C
14156814;ACTA SCIENTIARUM (HUMAN AND SOCIAL SCIENCES);B2
16440730;ACTA SCIENTIARUM POLONORUM TECHNOLOGIA ALIMENTARIA;B1
16799275;ACTA SCIENTIARUM. AGRONOMY (IMPRESSO);A4
